accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
2,1.0,1.0,2,60.00,,,1,80,8.0,10.0,10.0,10.0,10.0
4,1.0,1.0,1,135.00,350.00,50.00,32,99,10.0,10.0,10.0,10.0,10.0
8,2.0,3.0,3,310.00,350.00,195.00,47,95,9.0,9.0,9.0,10.0,9.0
1,1.0,1.0,1,40.00,350.00,35.00,3,87,7.0,9.0,10.0,9.0,8.0
8,2.5,3.0,3,245.00,200.00,145.00,38,95,10.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,57.00,,25.00,83,92,9.0,10.0,10.0,10.0,9.0
3,1.0,0.0,1,120.00,250.00,22.00,44,98,10.0,10.0,10.0,10.0,10.0
6,1.0,1.0,6,120.00,200.00,85.00,32,88,9.0,9.0,9.0,10.0,9.0
12,3.0,6.0,6,490.00,500.00,225.00,24,99,10.0,10.0,10.0,10.0,10.0
6,1.0,2.0,2,200.00,,45.00,5,96,10.0,10.0,10.0,9.0,10.0
